,BBC . . . . . Date,Compound,Negative,Neutral,Positive,Tweets Ago
0,Mon Mar 05 19:30:07 +0000 2018,0.0,1.0,0.0,0.0,1
1,Mon Mar 05 18:38:04 +0000 2018,-0.8555,0.592,0.408,0.0,2
2,Mon Mar 05 17:23:22 +0000 2018,0.6124,0.737,0.0,0.263,3
3,Mon Mar 05 17:15:34 +0000 2018,0.4472,0.789,0.0,0.211,4
4,Mon Mar 05 17:00:31 +0000 2018,0.1531,0.818,0.077,0.105,5
5,Mon Mar 05 14:48:43 +0000 2018,0.0,1.0,0.0,0.0,6
6,Mon Mar 05 14:43:13 +0000 2018,-0.1779,0.855,0.145,0.0,7
7,Mon Mar 05 14:42:36 +0000 2018,0.0,1.0,0.0,0.0,8
8,Mon Mar 05 14:11:28 +0000 2018,-0.6621,0.76,0.24,0.0,9
9,Mon Mar 05 14:07:00 +0000 2018,0.0,1.0,0.0,0.0,10
10,Mon Mar 05 13:17:03 +0000 2018,0.0,1.0,0.0,0.0,11
11,Mon Mar 05 13:07:19 +0000 2018,0.0,1.0,0.0,0.0,12
12,Mon Mar 05 12:34:04 +0000 2018,0.6369,0.811,0.0,0.189,13
13,Mon Mar 05 12:33:12 +0000 2018,0.0,1.0,0.0,0.0,14
14,Mon Mar 05 11:54:02 +0000 2018,0.4199,0.843,0.0,0.157,15
15,Mon Mar 05 11:37:55 +0000 2018,0.7845,0.67,0.0,0.33,16
16,Mon Mar 05 11:00:11 +0000 2018,0.7717,0.749,0.0,0.251,17
17,Mon Mar 05 10:42:57 +0000 2018,0.8384,0.655,0.0,0.345,18
18,Mon Mar 05 10:42:50 +0000 2018,0.8126,0.73,0.0,0.27,19
19,Mon Mar 05 10:09:20 +0000 2018,0.0,1.0,0.0,0.0,20
20,Mon Mar 05 09:58:23 +0000 2018,0.5267,0.773,0.0,0.227,21
21,Mon Mar 05 09:30:07 +0000 2018,0.7506,0.714,0.0,0.286,22
22,Mon Mar 05 09:00:05 +0000 2018,0.0,1.0,0.0,0.0,23
23,Mon Mar 05 08:30:04 +0000 2018,0.0,1.0,0.0,0.0,24
24,Mon Mar 05 08:00:04 +0000 2018,0.0,1.0,0.0,0.0,25
25,Sun Mar 04 20:11:35 +0000 2018,0.4019,0.726,0.089,0.184,26
26,Sun Mar 04 19:00:05 +0000 2018,0.8468,0.614,0.0,0.386,27
27,Sun Mar 04 18:59:39 +0000 2018,0.4215,0.882,0.0,0.118,28
28,Sun Mar 04 18:00:09 +0000 2018,-0.3182,0.901,0.099,0.0,29
29,Sun Mar 04 16:57:46 +0000 2018,0.4588,0.889,0.0,0.111,30
30,Sun Mar 04 16:30:12 +0000 2018,0.6369,0.811,0.0,0.189,31
31,Sun Mar 04 15:30:29 +0000 2018,0.3382,0.87,0.0,0.13,32
32,Sun Mar 04 15:00:06 +0000 2018,0.1779,0.876,0.0,0.124,33
33,Sun Mar 04 14:03:03 +0000 2018,0.0498,0.65,0.17,0.18,34
34,Sun Mar 04 13:46:48 +0000 2018,0.802,0.702,0.0,0.298,35
35,Sun Mar 04 13:30:06 +0000 2018,0.2263,0.899,0.0,0.101,36
36,Sun Mar 04 12:57:19 +0000 2018,0.0,1.0,0.0,0.0,37
37,Sun Mar 04 12:56:49 +0000 2018,0.4939,0.882,0.0,0.118,38
38,Sun Mar 04 12:56:15 +0000 2018,-0.765,0.72,0.28,0.0,39
39,Sun Mar 04 12:55:43 +0000 2018,0.7003,0.775,0.0,0.225,40
40,Sun Mar 04 12:33:04 +0000 2018,0.0,1.0,0.0,0.0,41
41,Sun Mar 04 12:00:07 +0000 2018,0.0,1.0,0.0,0.0,42
42,Sun Mar 04 11:54:09 +0000 2018,0.0,1.0,0.0,0.0,43
43,Sun Mar 04 11:34:05 +0000 2018,0.0,1.0,0.0,0.0,44
44,Sun Mar 04 11:00:02 +0000 2018,0.5141,0.678,0.0,0.322,45
45,Sun Mar 04 10:33:01 +0000 2018,0.657,0.715,0.0,0.285,46
46,Sun Mar 04 09:30:03 +0000 2018,0.0,1.0,0.0,0.0,47
47,Sat Mar 03 21:21:40 +0000 2018,0.6249,0.745,0.0,0.255,48
48,Sat Mar 03 19:36:06 +0000 2018,0.296,0.833,0.0,0.167,49
